,epoch,losses
0,1,4.807408983084984
1,2,3.481393443707423
2,3,2.8449021045523555
3,4,2.294508825646889
4,5,1.6991617376212151
5,6,1.3744120886677758
6,7,1.0355800942306146
7,8,0.8681068276813714
8,9,0.6975794140567908
9,10,0.5736959836650792
10,11,0.5802069566015052
11,12,0.47808871142323783
12,13,0.4119479327049861
13,14,0.3988662980734878
14,15,0.3799257056197102
15,16,0.34114285817604484
16,17,0.30132180815510723
17,18,0.27110876165687126
18,19,0.25439062557161457
19,20,0.2223200990356931
20,21,0.20365153104985362
21,22,0.19698345129605102
22,23,0.17444945873055936
23,24,0.16868572807805518
24,25,0.17000969655822898
25,26,0.159014329332905
26,27,0.16305871627778415
27,28,0.16573136733356658
28,29,0.17133104343589117
29,30,0.1798357488932948
30,31,0.3002893438706321
31,32,0.39821769814284197
32,33,0.39046481813999445
33,34,0.3263947049354192
34,35,0.2861353023781777
35,36,0.21547736697525183
36,37,0.1779648056214717
37,38,0.1527374263496025
38,39,0.13207952870491751
39,40,0.12085523546510787
40,41,0.11058986662579848
41,42,0.10818604401139387
42,43,0.10659012927483019
43,44,0.10547077086621046
44,45,0.10167543392063849
45,46,0.101924995314365
46,47,0.10853212854016475
47,48,0.12399895860581538
48,49,0.12924783709058807
49,50,0.16105175704545469
